"run_id","generated_at","variant","label","route","kind","port","requests_per_sec","latency_avg","wrk_args","server_options","host","cpu","logical_cpus","memory","os","r_version","package_versions","raw_file"
"20260517-200327","2026-05-17T20:09:32+02:00","drogonR-native","drogonR native","/ping","json","8080","180603.93","309.03us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/drogonR-native-json-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","drogonR-native","drogonR native","/ping-text","text","8080","314655.08","180.47us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/drogonR-native-text-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","drogonR-plumber-shim","drogonR plumber-shim","/ping","json","8083","120744.91","461.09us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/drogonR-plumber-shim-json-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","drogonR-plumber-shim","drogonR plumber-shim","/ping-text","text","8083","124542.85","449.21us","-t4 -c50 -d30s","DROGONR_THREADS=4; DROGONR_WORKERS=1","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/drogonR-plumber-shim-text-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","plumber","plumber","/ping","json","8081","1123.53","42.68ms","-t4 -c50 -d30s","single R process; no threading option in this benchmark","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/plumber-json-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","plumber","plumber","/ping-text","text","8081","1126.86","42.56ms","-t4 -c50 -d30s","single R process; no threading option in this benchmark","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/plumber-text-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","plumber2","plumber2","/ping","json","8084","1076.82","44.59ms","-t4 -c50 -d30s","sync handlers; no mirai daemons","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/plumber2-json-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","plumber2","plumber2","/ping-text","text","8084","1093.31","43.87ms","-t4 -c50 -d30s","sync handlers; no mirai daemons","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/plumber2-text-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","plumber2-mirai","plumber2 mirai async","/ping","json","8086","267.88","178.95ms","-t4 -c50 -d30s","async=TRUE; PLUMBER2_MIRAI_DAEMONS=5","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/plumber2-mirai-json-20260517-200327.txt"
"20260517-200327","2026-05-17T20:09:32+02:00","plumber2-mirai","plumber2 mirai async","/ping-text","text","8086","254.06","188.36ms","-t4 -c50 -d30s","async=TRUE; PLUMBER2_MIRAI_DAEMONS=5","Linux 6.8.0-78-generic x86_64 GNU/Linux","13th Gen Intel(R) Core(TM) i5-13500","20","62.6 GiB","Ubuntu 24.04.3 LTS","R version 4.6.0 (2026-04-24)","drogonR=0.1.6; plumber=1.3.3; plumber2=0.2.0; mirai=2.6.1; RestRserve=1.2.4; Rserve=1.8.19","/root/benchmark-r-http-frameworks/results/plumber2-mirai-text-20260517-200327.txt"
